Road User Type,(Multiple Items),,Road User Type,(Multiple Items),,,Road User Type,(Multiple Items)
,,,Statistic Label,Killed Casualties,,,Statistic Label,Killed Casualties
Row Labels,Sum of VALUE,,,,,,,
2005,192,,Sum of VALUE,Column Labels,,,Row Labels,Sum of VALUE
35 - 44 years,12,,55 - 64 years,28.57%,71.43%,,65 years and over,28.40%
Female,2,,65 years and over,39.13%,60.87%,,2020,100.00%
Male,10,,2020,15.00%,85.00%,,18 - 20 years,3.33%
45 - 54 years,6,,18 - 20 years,0.00%,100.00%,,21 - 24 years,5.00%
Female,4,,21 - 24 years,0.00%,100.00%,,25 - 34 years,25.00%
Male,2,,25 - 34 years,13.33%,86.67%,,35 - 44 years,16.67%
55 - 64 years,5,,35 - 44 years,0.00%,100.00%,,45 - 54 years,21.67%
Female,2,,45 - 54 years,23.08%,76.92%,,55 - 64 years,5.00%
Male,3,,55 - 64 years,0.00%,100.00%,,65 years and over,23.33%
65 years and over,15,,65 years and over,28.57%,71.43%,,2021,100.00%
Female,3,,2021,23.53%,76.47%,,18 - 20 years,9.41%
Male,12,,18 - 20 years,0.00%,100.00%,,21 - 24 years,9.41%
2011,80,,21 - 24 years,50.00%,50.00%,,25 - 34 years,14.12%
18 - 20 years,11,,25 - 34 years,8.33%,91.67%,,35 - 44 years,24.71%
Female,4,,35 - 44 years,19.05%,80.95%,,45 - 54 years,17.65%
Male,7,,45 - 54 years,20.00%,80.00%,,55 - 64 years,2.35%
21 - 24 years,9,,55 - 64 years,100.00%,0.00%,,65 years and over,22.35%
Female,2,,65 years and over,31.58%,68.42%,,2022,100.00%
Male,7,,2022,12.68%,87.32%,,18 - 20 years,8.45%
25 - 34 years,19,,18 - 20 years,16.67%,83.33%,,21 - 24 years,7.04%
Female,3,,21 - 24 years,20.00%,80.00%,,25 - 34 years,18.31%
Male,16,,25 - 34 years,7.69%,92.31%,,35 - 44 years,15.49%
35 - 44 years,17,,35 - 44 years,9.09%,90.91%,,45 - 54 years,11.27%
Female,4,,45 - 54 years,12.50%,87.50%,,55 - 64 years,15.49%
Male,13,,55 - 64 years,18.18%,81.82%,,65 years and over,23.94%
45 - 54 years,4,,65 years and over,11.76%,88.24%,,2023,100.00%
Female,2,,2023,14.47%,85.53%,,18 - 20 years,9.21%
Male,2,,18 - 20 years,14.29%,85.71%,,21 - 24 years,14.47%
55 - 64 years,5,,21 - 24 years,9.09%,90.91%,,25 - 34 years,18.42%
Female,1,,25 - 34 years,14.29%,85.71%,,35 - 44 years,18.42%
Male,4,,35 - 44 years,0.00%,100.00%,,45 - 54 years,11.84%
65 years and over,15,,45 - 54 years,0.00%,100.00%,,55 - 64 years,9.21%
Female,8,,55 - 64 years,14.29%,85.71%,,65 years and over,18.42%
Male,7,,65 years and over,42.86%,57.14%,,Grand Total,
2012,81,,,,,,,
18 - 20 years,8,,,,,,,
Female,2,,,,,,,
Male,6,,18 - 20 years,,,,,
21 - 24 years,13,,21 - 24 years,,,,18 - 20 years,9.51%
Female,3,,25 - 34 years,,,,21 - 24 years,13.22%
Male,10,,35 - 44 years,,,,25 - 34 years,
25 - 34 years,26,,45 - 54 years,,,,35 - 44 years,
Female,10,,55 - 64 years,,,,45 - 54 years,
Male,16,,65 years and over,,,,55 - 64 years,
35 - 44 years,9,,,,,,65 years and over,
Female,3,,,,,,,
Male,6,,,,,,,
45 - 54 years,9,,,,,,,
Female,5,,,,,,,
Male,4,,,,,,,
55 - 64 years,4,,,,,,,
Female,1,,Averge of being a male ,68.89%,,,,
Male,3,,Average of being a female ,31.11%,,,,
65 years and over,12,,,,,,,
Female,7,,,,,,,
Male,5,,,,,,,
2013,105,,,,,,,
18 - 20 years,6,,,,,,,
Female,1,,,,,,,
Male,5,,,,,,,
21 - 24 years,14,,,,,,,
Female,4,,,,,,,
Male,10,,,,,,,
25 - 34 years,31,,,,,,,
Female,2,,,,,,,
Male,29,,,,,,,
35 - 44 years,13,,,,,,,
Female,3,,,,,,,
Male,10,,,,,,,
45 - 54 years,11,,,,,,,
Female,3,,,,,,,
Male,8,,,,,,,
55 - 64 years,7,,,,,,,
Female,1,,,,,,,
Male,6,,,,,,,
65 years and over,23,,,,,,,
Female,6,,,,,,,
Male,17,,,,,,,
2014,88,,,,,,,
18 - 20 years,7,,,,,,,
Female,0,,,,,,,
Male,7,,,,,,,
21 - 24 years,10,,,,,,,
Female,2,,,,,,,
Male,8,,,,,,,
25 - 34 years,20,,,,,,,
Female,2,,,,,,,
Male,18,,,,,,,
35 - 44 years,15,,,,,,,
Female,3,,,,,,,
Male,12,,,,,,,
45 - 54 years,14,,,,,,,
Female,7,,,,,,,
Male,7,,,,,,,
55 - 64 years,5,,,,,,,
Female,2,,,,,,,
Male,3,,,,,,,
65 years and over,17,,,,,,,
Female,5,,,,,,,
Male,12,,,,,,,
2015,84,,,,,,,
18 - 20 years,9,,,,,,,
Female,1,,,,,,,
Male,8,,,,,,,
21 - 24 years,10,,,,,,,
Female,1,,,,,,,
Male,9,,,,,,,
25 - 34 years,20,,,,,,,
Female,5,,,,,,,
Male,15,,,,,,,
35 - 44 years,11,,,,,,,
Female,3,,,,,,,
Male,8,,,,,,,
45 - 54 years,5,,,,,,,
Female,1,,,,,,,
