STATISTIC,Statistic Label,TLIST(A1),Year,C02875V03459,Type of Vehicle,UNIT,VALUE
THA10C1,Vehicle Population,2015,2015,40,Tractors & Machinery,Number,92367
THA10C1,Vehicle Population,2015,2015,50,Small PSVs,Number,22428
THA10C1,Vehicle Population,2015,2015,60,Large PSVs,Number,9019
THA10C1,Vehicle Population,2015,2015,70,Exempt vehicles,Number,27019
THA10C1,Vehicle Population,2015,2015,80,Other vehicles,Number,67278
THA10C1,Vehicle Population,2016,2016,-,All vehicle types,Number,2631093
THA10C1,Vehicle Population,2016,2016,10,Private cars,Number,2038268
THA10C1,Vehicle Population,2016,2016,20,Goods vehicles,Number,338431
THA10C1,Vehicle Population,2016,2016,30,Motor cycles,Number,37461
THA10C1,Vehicle Population,2016,2016,40,Tractors & Machinery,Number,89237
THA10C1,Vehicle Population,2016,2016,50,Small PSVs,Number,21935
THA10C1,Vehicle Population,2016,2016,60,Large PSVs,Number,9539
THA10C1,Vehicle Population,2016,2016,70,Exempt vehicles,Number,27742
THA10C1,Vehicle Population,2016,2016,80,Other vehicles,Number,68479
THA10C1,Vehicle Population,2017,2017,-,All vehicle types,Number,2684730
THA10C1,Vehicle Population,2017,2017,10,Private cars,Number,2079345
THA10C1,Vehicle Population,2017,2017,20,Goods vehicles,Number,347447
THA10C1,Vehicle Population,2017,2017,30,Motor cycles,Number,39046
THA10C1,Vehicle Population,2017,2017,40,Tractors & Machinery,Number,88378
THA10C1,Vehicle Population,2017,2017,50,Small PSVs,Number,21544
THA10C1,Vehicle Population,2017,2017,60,Large PSVs,Number,10090
THA10C1,Vehicle Population,2017,2017,70,Exempt vehicles,Number,28702
THA10C1,Vehicle Population,2017,2017,80,Other vehicles,Number,70178
THA10C1,Vehicle Population,2018,2018,-,All vehicle types,Number,2729001
THA10C1,Vehicle Population,2018,2018,10,Private cars,Number,2117463
THA10C1,Vehicle Population,2018,2018,20,Goods vehicles,Number,354458
THA10C1,Vehicle Population,2018,2018,30,Motor cycles,Number,39851
THA10C1,Vehicle Population,2018,2018,40,Tractors & Machinery,Number,85820
THA10C1,Vehicle Population,2018,2018,50,Small PSVs,Number,21319
THA10C1,Vehicle Population,2018,2018,60,Large PSVs,Number,10695
THA10C1,Vehicle Population,2018,2018,70,Exempt vehicles,Number,29040
THA10C1,Vehicle Population,2018,2018,80,Other vehicles,Number,70355
THA10C1,Vehicle Population,2019,2019,-,All vehicle types,Number,2790778
THA10C1,Vehicle Population,2019,2019,10,Private cars,Number,2168099
THA10C1,Vehicle Population,2019,2019,20,Goods vehicles,Number,362699
THA10C1,Vehicle Population,2019,2019,30,Motor cycles,Number,41471
THA10C1,Vehicle Population,2019,2019,40,Tractors & Machinery,Number,84170
THA10C1,Vehicle Population,2019,2019,50,Small PSVs,Number,21457
THA10C1,Vehicle Population,2019,2019,60,Large PSVs,Number,11206
THA10C1,Vehicle Population,2019,2019,70,Exempt vehicles,Number,29619
THA10C1,Vehicle Population,2019,2019,80,Other vehicles,Number,72057
THA10C1,Vehicle Population,2020,2020,-,All vehicle types,Number,2848023
THA10C1,Vehicle Population,2020,2020,10,Private cars,Number,2211416
THA10C1,Vehicle Population,2020,2020,20,Goods vehicles,Number,372145
THA10C1,Vehicle Population,2020,2020,30,Motor cycles,Number,43491
THA10C1,Vehicle Population,2020,2020,40,Tractors & Machinery,Number,85504
THA10C1,Vehicle Population,2020,2020,50,Small PSVs,Number,19989
THA10C1,Vehicle Population,2020,2020,60,Large PSVs,Number,10833
THA10C1,Vehicle Population,2020,2020,70,Exempt vehicles,Number,29820
THA10C1,Vehicle Population,2020,2020,80,Other vehicles,Number,74824
THA10C1,Vehicle Population,2021,2021,-,All vehicle types,Number,2901404
THA10C1,Vehicle Population,2021,2021,10,Private cars,Number,2248916
THA10C1,Vehicle Population,2021,2021,20,Goods vehicles,Number,382144
THA10C1,Vehicle Population,2021,2021,30,Motor cycles,Number,45853
THA10C1,Vehicle Population,2021,2021,40,Tractors & Machinery,Number,86469
THA10C1,Vehicle Population,2021,2021,50,Small PSVs,Number,18108
THA10C1,Vehicle Population,2021,2021,60,Large PSVs,Number,10639
THA10C1,Vehicle Population,2021,2021,70,Exempt vehicles,Number,29933
THA10C1,Vehicle Population,2021,2021,80,Other vehicles,Number,79342
THA10C1,Vehicle Population,2022,2022,-,All vehicle types,Number,2927550
THA10C1,Vehicle Population,2022,2022,10,Private cars,Number,2266198
THA10C1,Vehicle Population,2022,2022,20,Goods vehicles,Number,387723
THA10C1,Vehicle Population,2022,2022,30,Motor cycles,Number,47056
THA10C1,Vehicle Population,2022,2022,40,Tractors & Machinery,Number,83780
THA10C1,Vehicle Population,2022,2022,50,Small PSVs,Number,17819
THA10C1,Vehicle Population,2022,2022,60,Large PSVs,Number,11380
THA10C1,Vehicle Population,2022,2022,70,Exempt vehicles,Number,30356
