Statistic Label,Year,Type of Vehicle,UNIT,VALUE,,,,,
Vehicle Population,2019,Other vehicles,Number,72057,,,,,
Vehicle Population,2020,All vehicle types,Number,2848023,,,,,
Vehicle Population,2020,Private cars,Number,2211416,,,,,
Vehicle Population,2020,Goods vehicles,Number,372145,,,,,
Vehicle Population,2020,Motor cycles,Number,43491,,,,,
Vehicle Population,2020,Tractors & Machinery,Number,85504,,,,,
Vehicle Population,2020,Small PSVs,Number,19989,,,,,
Vehicle Population,2020,Large PSVs,Number,10833,,,,,
Vehicle Population,2020,Exempt vehicles,Number,29820,,,,,
Vehicle Population,2020,Other vehicles,Number,74824,,,,,
Vehicle Population,2021,All vehicle types,Number,2901404,,,,,
Vehicle Population,2021,Private cars,Number,2248916,,,,,
Vehicle Population,2021,Goods vehicles,Number,382144,,,,,
Vehicle Population,2021,Motor cycles,Number,45853,,,,,
Vehicle Population,2021,Tractors & Machinery,Number,86469,,,,,
Vehicle Population,2021,Small PSVs,Number,18108,,,,,
Vehicle Population,2021,Large PSVs,Number,10639,,,,,
Vehicle Population,2021,Exempt vehicles,Number,29933,,,,,
Vehicle Population,2021,Other vehicles,Number,79342,,,,,
Vehicle Population,2022,All vehicle types,Number,2927550,,,,,
Vehicle Population,2022,Private cars,Number,2266198,,,,,
Vehicle Population,2022,Goods vehicles,Number,387723,,,,,
Vehicle Population,2022,Motor cycles,Number,47056,,,,,
Vehicle Population,2022,Tractors & Machinery,Number,83780,,,,,
Vehicle Population,2022,Small PSVs,Number,17819,,,,,
Vehicle Population,2022,Large PSVs,Number,11380,,,,,
Vehicle Population,2022,Exempt vehicles,Number,30356,,,,,
Vehicle Population,2022,Other vehicles,Number,83238,,,,,
Vehicle Population,2023,All vehicle types,Number,2983209,,,,,
Vehicle Population,2023,Private cars,Number,2311503,,,,,
Vehicle Population,2023,Goods vehicles,Number,395129,,,,,
Vehicle Population,2023,Motor cycles,Number,47938,,,,,
Vehicle Population,2023,Tractors & Machinery,Number,81559,,,,,
Vehicle Population,2023,Small PSVs,Number,17894,,,,,
Vehicle Population,2023,Large PSVs,Number,11934,,,,,
Vehicle Population,2023,Exempt vehicles,Number,30978,,,,,
Vehicle Population,2023,Other vehicles,Number,86275,,,,,
Kilometres Travelled,2000,All vehicle types,Million,30483,,,,,
Kilometres Travelled,2000,Private cars,Million,23072,,,,,
Kilometres Travelled,2000,Goods vehicles,Million,4687,,,,,
Kilometres Travelled,2000,Motor cycles,Million,105,,,,,
Kilometres Travelled,2000,Tractors & Machinery,Million,1396,,,,,
Kilometres Travelled,2000,Small PSVs,Million,549,,,,,
Kilometres Travelled,2000,Large PSVs,Million,256,,,,,
Kilometres Travelled,2000,Exempt vehicles,Million,222,,,,,
Kilometres Travelled,2000,Other vehicles,Million,194,,,,,
Kilometres Travelled,2001,All vehicle types,Million,32272,,,,,
Kilometres Travelled,2001,Private cars,Million,24306,,,,,
Kilometres Travelled,2001,Goods vehicles,Million,5095,,,,,
Kilometres Travelled,2001,Motor cycles,Million,118,,,,,
Kilometres Travelled,2001,Tractors & Machinery,Million,1390,,,,,
Kilometres Travelled,2001,Small PSVs,Million,626,,,,,
Kilometres Travelled,2001,Large PSVs,Million,268,,,,,
Kilometres Travelled,2001,Exempt vehicles,Million,248,,,,,
Kilometres Travelled,2001,Other vehicles,Million,221,,,,,
Kilometres Travelled,2002,All vehicle types,Million,33533,,,,,
Kilometres Travelled,2002,Private cars,Million,25192,,,,,
Kilometres Travelled,2002,Goods vehicles,Million,5367,,,,,
Kilometres Travelled,2002,Motor cycles,Million,121,,,,,
Kilometres Travelled,2002,Tractors & Machinery,Million,1377,,,,,
Kilometres Travelled,2002,Small PSVs,Million,714,,,,,
Kilometres Travelled,2002,Large PSVs,Million,267,,,,,
Kilometres Travelled,2002,Exempt vehicles,Million,265,,,,,
Kilometres Travelled,2002,Other vehicles,Million,229,,,,,
Kilometres Travelled,2003,All vehicle types,Million,35606,,,,,
Kilometres Travelled,2003,Private cars,Million,26633,,,,,
Kilometres Travelled,2003,Goods vehicles,Million,5819,,,,,
Kilometres Travelled,2003,Motor cycles,Million,127,,,,,
Kilometres Travelled,2003,Tractors & Machinery,Million,1421,,,,,
Kilometres Travelled,2003,Small PSVs,Million,792,,,,,
Kilometres Travelled,2003,Large PSVs,Million,277,,,,,
Kilometres Travelled,2003,Exempt vehicles,Million,287,,,,,
Kilometres Travelled,2003,Other vehicles,Million,249,,,,,
Kilometres Travelled,2004,All vehicle types,Million,38154,,,,,
Kilometres Travelled,2004,Private cars,Million,28418,,,,,
Kilometres Travelled,2004,Goods vehicles,Million,6367,,,,,
Kilometres Travelled,2004,Motor cycles,Million,133,,,,,
Kilometres Travelled,2004,Tractors & Machinery,Million,1476,,,,,
Kilometres Travelled,2004,Small PSVs,Million,862,,,,,
Kilometres Travelled,2004,Large PSVs,Million,289,,,,,
Kilometres Travelled,2004,Exempt vehicles,Million,317,,,,,
Kilometres Travelled,2004,Other vehicles,Million,292,,,,,
Kilometres Travelled,2005,All vehicle types,Million,39777,,,,,
Kilometres Travelled,2005,Private cars,Million,29586,,,,,
Kilometres Travelled,2005,Goods vehicles,Million,6743,,,,,
Kilometres Travelled,2005,Motor cycles,Million,130,,,,,
Kilometres Travelled,2005,Tractors & Machinery,Million,1463,,,,,
Kilometres Travelled,2005,Small PSVs,Million,897,,,,,
Kilometres Travelled,2005,Large PSVs,Million,291,,,,,
Kilometres Travelled,2005,Exempt vehicles,Million,341,,,,,
Kilometres Travelled,2005,Other vehicles,Million,326,,,,,
Kilometres Travelled,2006,All vehicle types,Million,41357,,,,,
Kilometres Travelled,2006,Private cars,Million,30660,,,,,
Kilometres Travelled,2006,Goods vehicles,Million,7190,,,,,
Kilometres Travelled,2006,Motor cycles,Million,127,,,,,
Kilometres Travelled,2006,Tractors & Machinery,Million,1446,,,,,
Kilometres Travelled,2006,Small PSVs,Million,929,,,,,
Kilometres Travelled,2006,Large PSVs,Million,295,,,,,
Kilometres Travelled,2006,Exempt vehicles,Million,361,,,,,
Kilometres Travelled,2006,Other vehicles,Million,348,,,,,
Kilometres Travelled,2007,All vehicle types,Million,43368,,,,,
Kilometres Travelled,2007,Private cars,Million,31973,,,,,
Kilometres Travelled,2007,Goods vehicles,Million,7736,,,,,
Kilometres Travelled,2007,Motor cycles,Million,130,,,,,
Kilometres Travelled,2007,Tractors & Machinery,Million,1453,,,,,
Kilometres Travelled,2007,Small PSVs,Million,1006,,,,,
Kilometres Travelled,2007,Large PSVs,Million,305,,,,,
Kilometres Travelled,2007,Exempt vehicles,Million,391,,,,,
Kilometres Travelled,2007,Other vehicles,Million,374,,,,,
Kilometres Travelled,2008,All vehicle types,Million,43721,,,,,
Kilometres Travelled,2008,Private cars,Million,31450,,,,,
Kilometres Travelled,2008,Goods vehicles,Million,7901,,,,,
Kilometres Travelled,2008,Motor cycles,Million,159,,,,,
Kilometres Travelled,2008,Tractors & Machinery,Million,1942,,,,,
Kilometres Travelled,2008,Small PSVs,Million,1072,,,,,
Kilometres Travelled,2008,Large PSVs,Million,310,,,,,
Kilometres Travelled,2008,Exempt vehicles,Million,412,,,,,
Kilometres Travelled,2008,Other vehicles,Million,475,,,,,
Kilometres Travelled,2009,All vehicle types,Million,45110,,,,,
Kilometres Travelled,2009,Private cars,Million,33391,,,,,
Kilometres Travelled,2009,Goods vehicles,Million,7855,,,,,
Kilometres Travelled,2009,Motor cycles,Million,135,,,,,
Kilometres Travelled,2009,Tractors & Machinery,Million,1370,,,,,
Kilometres Travelled,2009,Small PSVs,Million,945,,,,,
Kilometres Travelled,2009,Large PSVs,Million,349,,,,,
Kilometres Travelled,2009,Exempt vehicles,Million,504,,,,,
Kilometres Travelled,2009,Other vehicles,Million,562,,,,,
Kilometres Travelled,2010,All vehicle types,Million,42166,,,,,
Kilometres Travelled,2010,Private cars,Million,31734,,,,,
Kilometres Travelled,2010,Goods vehicles,Million,6870,,,,,
Kilometres Travelled,2010,Motor cycles,Million,123,,,,,
Kilometres Travelled,2010,Tractors & Machinery,Million,1263,,,,,
Kilometres Travelled,2010,Small PSVs,Million,932,,,,,
Kilometres Travelled,2010,Large PSVs,Million,310,,,,,
Kilometres Travelled,2010,Exempt vehicles,Million,464,,,,,
Kilometres Travelled,2010,Other vehicles,Million,470,,,,,
Kilometres Travelled,2011,All vehicle types,Million,41681,,,,,
Kilometres Travelled,2011,Private cars,Million,31638,,,,,
Kilometres Travelled,2011,Goods vehicles,Million,6546,,,,,
Kilometres Travelled,2011,Motor cycles,Million,114,,,,,
Kilometres Travelled,2011,Tractors & Machinery,Million,1232,,,,,
Kilometres Travelled,2011,Small PSVs,Million,970,,,,,
Kilometres Travelled,2011,Large PSVs,Million,308,,,,,
