Statistic Label,Year,Hour of Day,UNIT,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2005,All hours,Number,360,,,,,,,,,,,,,,,,,,,,Statistic Label,Fatal Collisions,,,,,Statistic Label,Fatal Collisions
All Fatal and Injury Collisions,2022,22,Number,151,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2022,23,Number,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,All hours,Number,5523,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,12 midnight,Number,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,1,Number,79,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,2,Number,78,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,3,Number,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,4,Number,42,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,5,Number,51,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,6,Number,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,7,Number,198,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,8,Number,295,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,9,Number,280,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,10,Number,244,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,11,Number,251,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,12,Number,290,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,13,Number,349,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,14,Number,362,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,15,Number,381,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,16,Number,460,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,17,Number,477,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,18,Number,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,19,Number,294,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,20,Number,241,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,21,Number,202,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,22,Number,164,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Fatal and Injury Collisions,2023,23,Number,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,All hours,Number,396,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,12 midnight,Number,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,1,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,2,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,3,Number,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,4,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,5,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,6,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,7,Number,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,8,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,9,Number,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,10,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,11,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,12,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,13,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,14,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,15,Number,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,16,Number,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,17,Number,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,18,Number,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,19,Number,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,20,Number,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,21,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,22,Number,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2005,23,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,All hours,Number,365,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,12 midnight,Number,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,1,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,2,Number,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,3,Number,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,4,Number,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,5,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,6,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,7,Number,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,8,Number,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,9,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,10,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,11,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,12,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,13,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,14,Number,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,15,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,16,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,17,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,18,Number,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,19,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,20,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,21,Number,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,22,Number,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2006,23,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,All hours,Number,338,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,12 midnight,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,1,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,2,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,3,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,4,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,5,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,6,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,7,Number,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,8,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,9,Number,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,10,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,11,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,12,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,13,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,14,Number,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,15,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,16,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,17,Number,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,18,Number,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,19,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,20,Number,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,21,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,22,Number,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2007,23,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,All hours,Number,279,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,12 midnight,Number,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,1,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,2,Number,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,3,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,4,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,5,Number,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,6,Number,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,7,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,8,Number,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,9,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,10,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,11,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,12,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,13,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,14,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,15,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,16,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,17,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,18,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,19,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,20,Number,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,21,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,22,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2008,23,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,All hours,Number,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,12 midnight,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,1,Number,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,2,Number,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,3,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,4,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,5,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,6,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,7,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,8,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,9,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,10,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,11,Number,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,12,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,13,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,14,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,15,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,16,Number,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,17,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,18,Number,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,19,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,20,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,21,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,22,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2009,23,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,All hours,Number,212,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,12 midnight,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,1,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,2,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,3,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,4,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,5,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,6,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,7,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,8,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,9,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,10,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,11,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,12,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,13,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,14,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,15,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,16,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,17,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,18,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,19,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,20,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,21,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,22,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2010,23,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,All hours,Number,186,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,12 midnight,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,1,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,2,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,3,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,4,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,5,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,6,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,7,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,8,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,9,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,10,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,11,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,12,Number,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,13,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,14,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,15,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,16,Number,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,17,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,18,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,19,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,20,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,21,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,22,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2011,23,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,All hours,Number,162,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,12 midnight,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,1,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,2,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,3,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,4,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,5,Number,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,6,Number,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,7,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,8,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,9,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,10,Number,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,11,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,12,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,13,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,14,Number,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,15,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,16,Number,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,17,Number,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,18,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,19,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,20,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,21,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,22,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2012,23,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,All hours,Number,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,12 midnight,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,1,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,2,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,3,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,4,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,5,Number,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,6,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,7,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,8,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,9,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,10,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,11,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,12,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,13,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,14,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,15,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,16,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,17,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,18,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,19,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,20,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,21,Number,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,22,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2013,23,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,All hours,Number,192,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,12 midnight,Number,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,1,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,2,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,3,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,4,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,5,Number,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,6,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,7,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,8,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,9,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,10,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,11,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,12,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,13,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,14,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,15,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,16,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,17,Number,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,18,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,19,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,20,Number,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,21,Number,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,22,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2014,23,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,All hours,Number,162,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,12 midnight,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,1,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,2,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,3,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,4,Number,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,5,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,6,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,7,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,8,Number,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,9,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,10,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,11,Number,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,12,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,13,Number,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,14,Number,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,15,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,16,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,17,Number,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,18,Number,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,19,Number,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,20,Number,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,21,Number,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,22,Number,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Killed Casualties,2015,23,Number,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
