Statistic Label,Year,Hour of Day,UNIT,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2005,All hours,Number,360,,,,,,,,,,,,,,,,,,,,Statistic Label,Fatal Collisions,,,,,Statistic Label,Fatal Collisions
Fatal Collisions,2009,22,Number,8,,,12,147,,,,,,,,2023,14,,,,,,,,,,,,,,
Fatal Collisions,2009,23,Number,9,,,2005,13,,,,,,,,22,136,,,,,,,,,,,,,,
Fatal Collisions,2010,All hours,Number,185,,,2006,8,,,,,,,,2005,17,,,,,,,,,,,,,,
Fatal Collisions,2010,12 midnight,Number,14,,,2007,10,,,,,,,,2006,12,,,,,,,,,,,,,,
Fatal Collisions,2010,1,Number,10,,,2008,14,,,,,,,,2007,11,,,,,,,,,,,,,,
Fatal Collisions,2010,2,Number,11,,,2009,6,,,,,,,,2008,8,,,,,,,,,,,,,,
Fatal Collisions,2010,3,Number,8,,,2010,5,,,,,,,,2009,8,,,,,,,,,,,,,,
Fatal Collisions,2010,4,Number,5,,,2011,3,,,,,,,,2010,8,,,,,,,,,,,,,,
Fatal Collisions,2010,5,Number,7,,,2012,4,,,,,,,,2011,7,,,,,,,,,,,,,,
Fatal Collisions,2010,6,Number,9,,,2013,8,,,,,,,,2012,5,,,,,,,,,,,,,,
Fatal Collisions,2010,7,Number,8,,,2014,9,,,,,,,,2013,6,,,,,,,,,,,,,,
Fatal Collisions,2010,8,Number,5,,,2015,7,,,,,,,,2014,5,,,,,,,,,,,,,,
Fatal Collisions,2010,9,Number,6,,,2016,7,,,,,,,,2015,9,,,,,,,,,,,,,,
Fatal Collisions,2010,10,Number,6,,,2017,11,,,,,,,,2016,9,,,,,,,,,,,,,,
Fatal Collisions,2010,11,Number,7,,,2018,6,,,,,,,,2017,4,,,,,,,,,,,,,,
Fatal Collisions,2010,12,Number,5,,,2019,8,,,,,,,,2018,3,,,,,,,,,,,,,,
Fatal Collisions,2010,13,Number,7,,,2020,9,,,,,,,,2019,5,,,,,,,,,,,,,,
Fatal Collisions,2010,14,Number,4,,,2021,5,,,,,,,,2020,4,,,,,,,,,,,,,,
Fatal Collisions,2010,15,Number,9,,,2022,7,,,,,,,,2021,4,,,,,,,,,,,,,,
Fatal Collisions,2010,16,Number,5,,,2023,7,,,,,,,,2022,7,,,,,,,,,,,,,,
Fatal Collisions,2010,17,Number,5,,,13,165,,,,,,,,2023,4,,,,,,,,,,,,,,
Fatal Collisions,2010,18,Number,8,,,2005,14,,,,,,,,23,147,,,,,,,,,,,,,,
Fatal Collisions,2010,19,Number,14,,,2006,15,,,,,,,,2005,9,,,,,,,,,,,,,,
Fatal Collisions,2010,20,Number,7,,,2007,8,,,,,,,,2006,13,,,,,,,,,,,,,,
Fatal Collisions,2010,21,Number,7,,,2008,15,,,,,,,,2007,13,,,,,,,,,,,,,,
Fatal Collisions,2010,22,Number,8,,,2009,7,,,,,,,,2008,9,,,,,,,,,,,,,,
Fatal Collisions,2010,23,Number,10,,,2010,7,,,,,,,,2009,9,,,,,,,,,,,,,,
Fatal Collisions,2011,All hours,Number,172,,,2011,6,,,,,,,,2010,10,,,,,,,,,,,,,,
Fatal Collisions,2011,12 midnight,Number,9,,,2012,9,,,,,,,,2011,8,,,,,,,,,,,,,,
Fatal Collisions,2011,1,Number,8,,,2013,9,,,,,,,,2012,6,,,,,,,,,,,,,,
Fatal Collisions,2011,2,Number,7,,,2014,8,,,,,,,,2013,4,,,,,,,,,,,,,,
Fatal Collisions,2011,3,Number,9,,,2015,6,,,,,,,,2014,4,,,,,,,,,,,,,,
Fatal Collisions,2011,4,Number,5,,,2016,9,,,,,,,,2015,4,,,,,,,,,,,,,,
Fatal Collisions,2011,5,Number,5,,,2017,4,,,,,,,,2016,10,,,,,,,,,,,,,,
Fatal Collisions,2011,6,Number,4,,,2018,6,,,,,,,,2017,5,,,,,,,,,,,,,,
Fatal Collisions,2011,7,Number,5,,,2019,6,,,,,,,,2018,11,,,,,,,,,,,,,,
Fatal Collisions,2011,8,Number,4,,,2020,8,,,,,,,,2019,2,,,,,,,,,,,,,,
Fatal Collisions,2011,9,Number,4,,,2021,8,,,,,,,,2020,7,,,,,,,,,,,,,,
Fatal Collisions,2011,10,Number,10,,,2022,11,,,,,,,,2021,8,,,,,,,,,,,,,,
Fatal Collisions,2011,11,Number,6,,,2023,9,,,,,,,,2022,5,,,,,,,,,,,,,,
Fatal Collisions,2011,12,Number,3,,,14,170,,,,,,,,2023,10,,,,,,,,,,,,,,
Fatal Collisions,2011,13,Number,6,,,2005,11,,,,,,,,12 midnight,166,,,,,,,,,,,,,,
Fatal Collisions,2011,14,Number,7,,,2006,18,,,,,,,,2005,24,,,,,,,,,,,,,,
Fatal Collisions,2011,15,Number,10,,,2007,16,,,,,,,,2006,20,,,,,,,,,,,,,,
Fatal Collisions,2011,16,Number,18,,,2008,10,,,,,,,,2007,8,,,,,,,,,,,,,,
Fatal Collisions,2011,17,Number,10,,,2009,11,,,,,,,,2008,15,,,,,,,,,,,,,,
Fatal Collisions,2011,18,Number,4,,,2010,4,,,,,,,,2009,8,,,,,,,,,,,,,,
Fatal Collisions,2011,19,Number,6,,,2011,7,,,,,,,,2010,14,,,,,,,,,,,,,,
Fatal Collisions,2011,20,Number,10,,,2012,3,,,,,,,,2011,9,,,,,,,,,,,,,,
Fatal Collisions,2011,21,Number,7,,,2013,12,,,,,,,,2012,7,,,,,,,,,,,,,,
Fatal Collisions,2011,22,Number,7,,,2014,10,,,,,,,,2013,6,,,,,,,,,,,,,,
Fatal Collisions,2011,23,Number,8,,,2015,10,,,,,,,,2014,2,,,,,,,,,,,,,,
Fatal Collisions,2012,All hours,Number,152,,,2016,4,,,,,,,,2015,6,,,,,,,,,,,,,,
Fatal Collisions,2012,12 midnight,Number,7,,,2017,12,,,,,,,,2016,4,,,,,,,,,,,,,,
Fatal Collisions,2012,1,Number,5,,,2018,8,,,,,,,,2017,5,,,,,,,,,,,,,,
Fatal Collisions,2012,2,Number,6,,,2019,8,,,,,,,,2018,6,,,,,,,,,,,,,,
Fatal Collisions,2012,3,Number,6,,,2020,3,,,,,,,,2019,6,,,,,,,,,,,,,,
Fatal Collisions,2012,4,Number,5,,,2021,12,,,,,,,,2020,5,,,,,,,,,,,,,,
Fatal Collisions,2012,5,Number,1,,,2022,5,,,,,,,,2021,4,,,,,,,,,,,,,,
Fatal Collisions,2012,6,Number,3,,,2023,6,,,,,,,,2022,10,,,,,,,,,,,,,,
Fatal Collisions,2012,7,Number,4,,,15,182,,,,,,,,2023,7,,,,,,,,,,,,,,
Fatal Collisions,2012,8,Number,7,,,2005,19,,,,,,,,Grand Total,1233,,,,,,,,,,,,,,
Fatal Collisions,2012,9,Number,6,,,2006,12,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,10,Number,2,,,2007,16,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,11,Number,6,,,2008,9,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,12,Number,4,,,2009,12,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,13,Number,9,,,2010,9,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,14,Number,3,,,2011,10,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,15,Number,8,,,2012,8,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,16,Number,12,,,2013,9,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,17,Number,14,,,2014,9,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,18,Number,12,,,2015,5,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,19,Number,8,,,2016,10,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,20,Number,4,,,2017,7,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,21,Number,9,,,2018,6,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,22,Number,5,,,2019,8,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2012,23,Number,6,,,2020,12,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,All hours,Number,179,,,2021,4,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,12 midnight,Number,6,,,2022,9,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,1,Number,7,,,2023,8,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,2,Number,9,,,16,216,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,3,Number,4,,,2005,18,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,4,Number,5,,,2006,17,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,5,Number,3,,,2007,13,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,6,Number,5,,,2008,14,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,7,Number,4,,,2009,12,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,8,Number,5,,,2010,5,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,9,Number,4,,,2011,18,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,10,Number,5,,,2012,12,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,11,Number,9,,,2013,11,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,12,Number,8,,,2014,9,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,13,Number,9,,,2015,9,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,14,Number,12,,,2016,18,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,15,Number,9,,,2017,8,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,16,Number,11,,,2018,7,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,17,Number,13,,,2019,4,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,18,Number,10,,,2020,7,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,19,Number,9,,,2021,10,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,20,Number,8,,,2022,13,,,,,,,,,,,,,,,,,,,,,,,
