Statistic,Age Group,Sex,Road User Type,UNIT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Killed Casualties,10 - 14 years,Female,Car passengers,Number,0,0,1,3,0,0,1,0,0,2,0,0,0,0,0,1,0,1,1
Killed Casualties,10 - 14 years,Female,Other road users,Number,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,15 - 17 years,Male,All road users,Number,15,13,12,16,9,4,6,7,1,5,3,2,4,4,2,4,1,4,7
Killed Casualties,15 - 17 years,Male,Pedestrians,Number,4,1,2,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0
Killed Casualties,15 - 17 years,Male,Pedal cyclists,Number,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Killed Casualties,15 - 17 years,Male,Motor cyclists,Number,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Killed Casualties,15 - 17 years,Male,All Car users,Number,7,9,9,11,7,4,4,6,0,4,1,0,2,1,1,3,1,2,6
Killed Casualties,15 - 17 years,Male,Car drivers,Number,4,5,3,5,1,2,3,2,0,2,0,0,0,0,1,2,1,0,2
Killed Casualties,15 - 17 years,Male,Car passengers,Number,3,4,6,6,6,2,1,4,0,2,1,0,2,1,0,1,0,2,4
Killed Casualties,15 - 17 years,Male,Other road users,Number,3,2,1,1,0,0,2,0,1,1,0,1,1,0,0,0,0,1,1
Killed Casualties,15 - 17 years,Female,All road users,Number,11,5,2,4,0,3,4,0,3,1,0,1,0,1,0,2,1,1,3
Killed Casualties,15 - 17 years,Female,Pedestrians,Number,5,2,0,1,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0
Killed Casualties,15 - 17 years,Female,Pedal cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,15 - 17 years,Female,Motor cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,15 - 17 years,Female,All Car users,Number,4,3,2,3,0,3,2,0,1,0,0,1,0,0,0,2,1,1,2
Killed Casualties,15 - 17 years,Female,Car drivers,Number,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,15 - 17 years,Female,Car passengers,Number,4,2,2,3,0,3,2,0,1,0,0,1,0,0,0,2,1,1,2
Killed Casualties,15 - 17 years,Female,Other road users,Number,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Killed Casualties,18 - 20 years,Male,All road users,Number,46,29,28,25,23,17,16,10,12,10,12,14,9,7,6,4,11,7,13
Killed Casualties,18 - 20 years,Male,Pedestrians,Number,5,3,3,6,2,0,3,0,1,0,0,0,1,1,0,0,1,2,2
Killed Casualties,18 - 20 years,Male,Pedal cyclists,Number,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
Killed Casualties,18 - 20 years,Male,Motor cyclists,Number,4,2,3,2,1,2,0,2,1,1,1,1,1,0,3,0,6,1,2
Killed Casualties,18 - 20 years,Male,All Car users,Number,32,22,16,15,18,14,11,6,10,8,11,12,7,5,3,4,4,4,8
Killed Casualties,18 - 20 years,Male,Car drivers,Number,20,15,11,12,14,6,7,4,4,6,7,6,4,3,1,2,2,4,4
Killed Casualties,18 - 20 years,Male,Car passengers,Number,12,7,5,3,4,8,4,2,6,2,4,6,3,2,2,2,2,0,4
Killed Casualties,18 - 20 years,Male,Other road users,Number,5,2,4,2,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0
Killed Casualties,18 - 20 years,Female,All road users,Number,9,12,8,9,8,4,6,2,1,2,7,4,2,2,1,0,0,2,4
Killed Casualties,18 - 20 years,Female,Pedestrians,Number,0,1,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Killed Casualties,18 - 20 years,Female,Pedal cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,18 - 20 years,Female,Motor cyclists,Number,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,18 - 20 years,Female,All Car users,Number,7,11,5,6,8,4,5,2,1,1,6,4,2,2,1,0,0,2,4
Killed Casualties,18 - 20 years,Female,Car drivers,Number,4,3,1,5,3,2,4,2,1,0,1,0,0,0,1,0,0,1,1
Killed Casualties,18 - 20 years,Female,Car passengers,Number,3,8,4,1,5,2,1,0,0,1,5,4,2,2,0,0,0,1,3
Killed Casualties,18 - 20 years,Female,Other road users,Number,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,21 - 24 years,Male,All road users,Number,43,46,33,32,30,29,14,18,17,13,15,13,11,13,15,3,7,8,16
Killed Casualties,21 - 24 years,Male,Pedestrians,Number,5,4,5,0,2,5,2,0,0,0,3,1,1,0,2,0,0,2,5
Killed Casualties,21 - 24 years,Male,Pedal cyclists,Number,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,21 - 24 years,Male,Motor cyclists,Number,10,3,4,7,4,4,0,0,0,1,2,2,0,4,1,0,1,1,4
Killed Casualties,21 - 24 years,Male,All Car users,Number,25,34,20,23,23,19,8,17,13,11,10,10,9,8,12,3,6,5,7
Killed Casualties,21 - 24 years,Male,Car drivers,Number,13,27,12,17,15,10,7,10,10,7,7,7,9,4,7,3,3,3,6
Killed Casualties,21 - 24 years,Male,Car passengers,Number,12,7,8,6,8,9,1,7,3,4,3,3,0,4,5,0,3,2,1
Killed Casualties,21 - 24 years,Male,Other road users,Number,3,4,4,2,1,1,2,1,4,1,0,0,1,1,0,0,0,0,0
Killed Casualties,21 - 24 years,Female,All road users,Number,11,8,6,9,3,5,3,5,6,3,3,1,0,0,1,2,5,1,3
Killed Casualties,21 - 24 years,Female,Pedestrians,Number,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
Killed Casualties,21 - 24 years,Female,Pedal cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Killed Casualties,21 - 24 years,Female,Motor cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,21 - 24 years,Female,All Car users,Number,11,8,6,8,3,4,2,4,6,2,2,0,0,0,1,2,5,1,1
Killed Casualties,21 - 24 years,Female,Car drivers,Number,6,4,3,5,3,2,2,3,4,2,1,0,0,0,1,0,4,1,1
Killed Casualties,21 - 24 years,Female,Car passengers,Number,5,4,3,3,0,2,0,1,2,0,1,0,0,0,0,2,1,0,0
Killed Casualties,21 - 24 years,Female,Other road users,Number,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Killed Casualties,25 - 34 years,Male,All road users,Number,58,64,52,33,41,41,35,23,34,29,24,25,28,16,19,24,17,18,23
Killed Casualties,25 - 34 years,Male,Pedestrians,Number,4,6,3,2,3,3,7,3,2,4,5,4,6,4,1,6,1,0,3
Killed Casualties,25 - 34 years,Male,Pedal cyclists,Number,3,1,2,0,1,0,1,0,0,1,0,0,2,1,2,1,0,0,0
Killed Casualties,25 - 34 years,Male,Motor cyclists,Number,18,10,11,9,9,6,8,8,13,8,6,6,7,1,4,6,2,6,5
Killed Casualties,25 - 34 years,Male,All Car users,Number,27,44,31,18,22,27,14,9,18,14,10,12,9,9,12,8,13,10,13
Killed Casualties,25 - 34 years,Male,Car drivers,Number,19,26,24,13,17,19,8,8,16,10,9,12,8,8,12,7,9,6,7
Killed Casualties,25 - 34 years,Male,Car passengers,Number,8,18,7,5,5,8,6,1,2,4,1,0,1,1,0,1,4,4,6
Killed Casualties,25 - 34 years,Male,Other road users,Number,6,3,5,4,6,5,5,3,1,2,3,3,4,1,0,3,1,2,2
