"Statistic Label","Year","Age Group","Sex","UNIT","VALUE"
"Drivers of Cars Killed in Collisions","2010","18 - 20 years","Male","Number","6"
"Drivers of Cars Killed in Collisions","2010","18 - 20 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2010","21 - 24 years","Male","Number","10"
"Drivers of Cars Killed in Collisions","2010","21 - 24 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2010","25 - 34 years","Male","Number","19"
"Drivers of Cars Killed in Collisions","2010","25 - 34 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2010","35 - 44 years","Male","Number","6"
"Drivers of Cars Killed in Collisions","2010","35 - 44 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2010","45 - 54 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2010","45 - 54 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2010","55 - 64 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2010","55 - 64 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2010","65 years and over","Male","Number","12"
"Drivers of Cars Killed in Collisions","2010","65 years and over","Female","Number","3"
"Drivers of Cars Killed in Collisions","2010","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2010","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2011","All ages","Male","Number","42"
"Drivers of Cars Killed in Collisions","2011","All ages","Female","Number","23"
"Drivers of Cars Killed in Collisions","2011","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2011","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2011","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2011","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2011","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2011","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2011","15 - 17 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2011","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2011","18 - 20 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2011","18 - 20 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2011","21 - 24 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2011","21 - 24 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2011","25 - 34 years","Male","Number","8"
"Drivers of Cars Killed in Collisions","2011","25 - 34 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2011","35 - 44 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2011","35 - 44 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2011","45 - 54 years","Male","Number","1"
"Drivers of Cars Killed in Collisions","2011","45 - 54 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2011","55 - 64 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2011","55 - 64 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2011","65 years and over","Male","Number","6"
"Drivers of Cars Killed in Collisions","2011","65 years and over","Female","Number","7"
"Drivers of Cars Killed in Collisions","2011","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2011","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2012","All ages","Male","Number","36"
"Drivers of Cars Killed in Collisions","2012","All ages","Female","Number","28"
"Drivers of Cars Killed in Collisions","2012","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2012","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2012","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2012","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2012","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2012","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2012","15 - 17 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2012","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2012","18 - 20 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2012","18 - 20 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2012","21 - 24 years","Male","Number","10"
"Drivers of Cars Killed in Collisions","2012","21 - 24 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2012","25 - 34 years","Male","Number","8"
"Drivers of Cars Killed in Collisions","2012","25 - 34 years","Female","Number","8"
"Drivers of Cars Killed in Collisions","2012","35 - 44 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2012","35 - 44 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2012","45 - 54 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2012","45 - 54 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2012","55 - 64 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2012","55 - 64 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2012","65 years and over","Male","Number","5"
"Drivers of Cars Killed in Collisions","2012","65 years and over","Female","Number","7"
"Drivers of Cars Killed in Collisions","2012","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2012","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2013","All ages","Male","Number","61"
"Drivers of Cars Killed in Collisions","2013","All ages","Female","Number","18"
"Drivers of Cars Killed in Collisions","2013","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2013","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2013","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2013","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2013","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2013","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2013","15 - 17 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2013","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2013","18 - 20 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2013","18 - 20 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2013","21 - 24 years","Male","Number","10"
"Drivers of Cars Killed in Collisions","2013","21 - 24 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2013","25 - 34 years","Male","Number","16"
"Drivers of Cars Killed in Collisions","2013","25 - 34 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2013","35 - 44 years","Male","Number","6"
"Drivers of Cars Killed in Collisions","2013","35 - 44 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2013","45 - 54 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2013","45 - 54 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2013","55 - 64 years","Male","Number","5"
"Drivers of Cars Killed in Collisions","2013","55 - 64 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2013","65 years and over","Male","Number","16"
"Drivers of Cars Killed in Collisions","2013","65 years and over","Female","Number","6"
"Drivers of Cars Killed in Collisions","2013","Age unknown","Male","Number","0"
