Statistic Label,Month,Ireland,UNIT,VALUE
Road Fatalities,2021 June,Ireland,Number,9
Road Fatalities,2021 July,Ireland,Number,17
Road Fatalities,2021 August,Ireland,Number,21
Road Fatalities,2021 September,Ireland,Number,9
Road Fatalities,2021 October,Ireland,Number,12
Road Fatalities,2021 November,Ireland,Number,3
Road Fatalities,2021 December,Ireland,Number,19
Road Fatalities,2022 January,Ireland,Number,13
Road Fatalities,2022 February,Ireland,Number,13
Road Fatalities,2022 March,Ireland,Number,16
Road Fatalities,2022 April,Ireland,Number,8
Road Fatalities,2022 May,Ireland,Number,12
Road Fatalities,2022 June,Ireland,Number,13
Road Fatalities,2022 July,Ireland,Number,12
Road Fatalities,2022 August,Ireland,Number,12
Road Fatalities,2022 September,Ireland,Number,9
Road Fatalities,2022 October,Ireland,Number,12
Road Fatalities,2022 November,Ireland,Number,17
Road Fatalities,2022 December,Ireland,Number,15
Road Fatalities,2023 January,Ireland,Number,16
Road Fatalities,2023 February,Ireland,Number,13
Road Fatalities,2023 March,Ireland,Number,11
Road Fatalities,2023 April,Ireland,Number,10
Road Fatalities,2023 May,Ireland,Number,20
Road Fatalities,2023 June,Ireland,Number,10
Road Fatalities,2023 July,Ireland,Number,16
Road Fatalities,2023 August,Ireland,Number,26
Road Fatalities,2023 September,Ireland,Number,9
Road Fatalities,2023 October,Ireland,Number,22
Road Fatalities,2023 November,Ireland,Number,13
Road Fatalities,2023 December,Ireland,Number,13
Road Fatalities,2024 January,Ireland,Number,18
Road Fatalities,2024 February,Ireland,Number,20
Road Fatalities,2024 March,Ireland,Number,18
Road Fatalities,2024 April,Ireland,Number,10
Road Fatalities,2024 May,Ireland,Number,7
Road Fatalities,2024 June,Ireland,Number,11
Road Fatalities,2024 July,Ireland,Number,21
Road Fatalities,2024 August,Ireland,Number,13
Road Fatalities,2024 September,Ireland,Number,13
Road Fatalities,2024 October,Ireland,Number,9
Road Fatalities,2024 November,Ireland,Number,17
Road Fatalities,2024 December,Ireland,Number,14
Road Fatalities,2025 January,Ireland,Number,14
Road Fatalities,2025 February,Ireland,Number,13
Road Fatalities,2025 March,Ireland,Number,13
Road Fatalities,2025 April,Ireland,Number,13
Road Fatalities,2025 May,Ireland,Number,16
Road Fatalities,2025 June,Ireland,Number,11
Road Fatalities,2025 July,Ireland,Number,14
Road Fatalities,2025 August,Ireland,Number,16
