"Statistic Label","Year","Month of Year","UNIT","VALUE"
"Injury Collisions","2005","June","Number","504"
"Injury Collisions","2005","July","Number","534"
"Injury Collisions","2005","August","Number","535"
"Injury Collisions","2005","September","Number","539"
"Injury Collisions","2005","October","Number","566"
"Injury Collisions","2005","November","Number","572"
"Injury Collisions","2005","December","Number","545"
"Injury Collisions","2006","All months","Number","5697"
"Injury Collisions","2006","January","Number","488"
"Injury Collisions","2006","February","Number","380"
"Injury Collisions","2006","March","Number","442"
"Injury Collisions","2006","April","Number","373"
"Injury Collisions","2006","May","Number","462"
"Injury Collisions","2006","June","Number","440"
"Injury Collisions","2006","July","Number","479"
"Injury Collisions","2006","August","Number","506"
"Injury Collisions","2006","September","Number","497"
"Injury Collisions","2006","October","Number","537"
"Injury Collisions","2006","November","Number","514"
"Injury Collisions","2006","December","Number","579"
"Injury Collisions","2007","All months","Number","5158"
"Injury Collisions","2007","January","Number","438"
"Injury Collisions","2007","February","Number","397"
"Injury Collisions","2007","March","Number","438"
"Injury Collisions","2007","April","Number","361"
"Injury Collisions","2007","May","Number","423"
"Injury Collisions","2007","June","Number","420"
"Injury Collisions","2007","July","Number","471"
"Injury Collisions","2007","August","Number","462"
"Injury Collisions","2007","September","Number","430"
"Injury Collisions","2007","October","Number","451"
"Injury Collisions","2007","November","Number","449"
"Injury Collisions","2007","December","Number","418"
"Injury Collisions","2008","All months","Number","6482"
"Injury Collisions","2008","January","Number","544"
"Injury Collisions","2008","February","Number","563"
"Injury Collisions","2008","March","Number","535"
"Injury Collisions","2008","April","Number","518"
"Injury Collisions","2008","May","Number","574"
"Injury Collisions","2008","June","Number","508"
"Injury Collisions","2008","July","Number","501"
"Injury Collisions","2008","August","Number","483"
"Injury Collisions","2008","September","Number","542"
"Injury Collisions","2008","October","Number","558"
"Injury Collisions","2008","November","Number","585"
"Injury Collisions","2008","December","Number","571"
"Injury Collisions","2009","All months","Number","6395"
"Injury Collisions","2009","January","Number","548"
"Injury Collisions","2009","February","Number","421"
"Injury Collisions","2009","March","Number","471"
"Injury Collisions","2009","April","Number","517"
"Injury Collisions","2009","May","Number","558"
"Injury Collisions","2009","June","Number","519"
"Injury Collisions","2009","July","Number","611"
"Injury Collisions","2009","August","Number","572"
"Injury Collisions","2009","September","Number","520"
"Injury Collisions","2009","October","Number","561"
"Injury Collisions","2009","November","Number","561"
"Injury Collisions","2009","December","Number","536"
"Injury Collisions","2010","All months","Number","5595"
"Injury Collisions","2010","January","Number","405"
"Injury Collisions","2010","February","Number","417"
"Injury Collisions","2010","March","Number","474"
"Injury Collisions","2010","April","Number","454"
"Injury Collisions","2010","May","Number","502"
"Injury Collisions","2010","June","Number","463"
"Injury Collisions","2010","July","Number","509"
"Injury Collisions","2010","August","Number","493"
"Injury Collisions","2010","September","Number","520"
"Injury Collisions","2010","October","Number","566"
"Injury Collisions","2010","November","Number","495"
"Injury Collisions","2010","December","Number","297"
"Injury Collisions","2011","All months","Number","5058"
"Injury Collisions","2011","January","Number","411"
"Injury Collisions","2011","February","Number","387"
"Injury Collisions","2011","March","Number","407"
"Injury Collisions","2011","April","Number","373"
"Injury Collisions","2011","May","Number","358"
"Injury Collisions","2011","June","Number","451"
"Injury Collisions","2011","July","Number","444"
"Injury Collisions","2011","August","Number","468"
"Injury Collisions","2011","September","Number","443"
"Injury Collisions","2011","October","Number","468"
"Injury Collisions","2011","November","Number","455"
"Injury Collisions","2011","December","Number","393"
"Injury Collisions","2012","All months","Number","5458"
"Injury Collisions","2012","January","Number","447"
"Injury Collisions","2012","February","Number","396"
"Injury Collisions","2012","March","Number","478"
"Injury Collisions","2012","April","Number","455"
"Injury Collisions","2012","May","Number","442"
"Injury Collisions","2012","June","Number","446"
"Injury Collisions","2012","July","Number","460"
"Injury Collisions","2012","August","Number","464"
"Injury Collisions","2012","September","Number","469"
"Injury Collisions","2012","October","Number","487"
"Injury Collisions","2012","November","Number","468"
"Injury Collisions","2012","December","Number","446"
"Injury Collisions","2013","All months","Number","4797"
"Injury Collisions","2013","January","Number","427"
"Injury Collisions","2013","February","Number","341"
"Injury Collisions","2013","March","Number","349"
"Injury Collisions","2013","April","Number","328"
"Injury Collisions","2013","May","Number","377"
"Injury Collisions","2013","June","Number","408"
"Injury Collisions","2013","July","Number","446"
"Injury Collisions","2013","August","Number","398"
"Injury Collisions","2013","September","Number","419"
"Injury Collisions","2013","October","Number","455"
"Injury Collisions","2013","November","Number","420"
"Injury Collisions","2013","December","Number","429"
"Injury Collisions","2014","All months","Number","5618"
"Injury Collisions","2014","January","Number","430"
"Injury Collisions","2014","February","Number","397"
"Injury Collisions","2014","March","Number","407"
"Injury Collisions","2014","April","Number","443"
"Injury Collisions","2014","May","Number","452"
"Injury Collisions","2014","June","Number","466"
"Injury Collisions","2014","July","Number","470"
"Injury Collisions","2014","August","Number","480"
"Injury Collisions","2014","September","Number","496"
"Injury Collisions","2014","October","Number","504"
"Injury Collisions","2014","November","Number","569"
"Injury Collisions","2014","December","Number","504"
"Injury Collisions","2015","All months","Number","5676"
"Injury Collisions","2015","January","Number","478"
"Injury Collisions","2015","February","Number","417"
"Injury Collisions","2015","March","Number","460"
"Injury Collisions","2015","April","Number","396"
"Injury Collisions","2015","May","Number","488"
"Injury Collisions","2015","June","Number","465"
"Injury Collisions","2015","July","Number","471"
"Injury Collisions","2015","August","Number","470"
"Injury Collisions","2015","September","Number","502"
"Injury Collisions","2015","October","Number","499"
"Injury Collisions","2015","November","Number","502"
"Injury Collisions","2015","December","Number","528"
"Injury Collisions","2016","All months","Number","5717"
"Injury Collisions","2016","January","Number","516"
"Injury Collisions","2016","February","Number","456"
"Injury Collisions","2016","March","Number","415"
"Injury Collisions","2016","April","Number","397"
"Injury Collisions","2016","May","Number","460"
"Injury Collisions","2016","June","Number","475"
"Injury Collisions","2016","July","Number","524"
"Injury Collisions","2016","August","Number","459"
"Injury Collisions","2016","September","Number","527"
"Injury Collisions","2016","October","Number","484"
"Injury Collisions","2016","November","Number","493"
"Injury Collisions","2016","December","Number","511"
"Injury Collisions","2017","All months","Number","5914"
"Injury Collisions","2017","January","Number","449"
"Injury Collisions","2017","February","Number","409"
"Injury Collisions","2017","March","Number","510"
"Injury Collisions","2017","April","Number","387"
"Injury Collisions","2017","May","Number","522"
"Injury Collisions","2017","June","Number","483"
"Injury Collisions","2017","July","Number","482"
"Injury Collisions","2017","August","Number","475"
"Injury Collisions","2017","September","Number","546"
"Injury Collisions","2017","October","Number","508"
"Injury Collisions","2017","November","Number","597"
"Injury Collisions","2017","December","Number","546"
"Injury Collisions","2018","All months","Number","5974"
"Injury Collisions","2018","January","Number","461"
"Injury Collisions","2018","February","Number","436"
"Injury Collisions","2018","March","Number","428"
"Injury Collisions","2018","April","Number","446"
"Injury Collisions","2018","May","Number","533"
"Injury Collisions","2018","June","Number","521"
"Injury Collisions","2018","July","Number","540"
"Injury Collisions","2018","August","Number","474"
"Injury Collisions","2018","September","Number","508"
"Injury Collisions","2018","October","Number","544"
"Injury Collisions","2018","November","Number","549"
"Injury Collisions","2018","December","Number","534"
"Injury Collisions","2019","All months","Number","5698"
"Injury Collisions","2019","January","Number","493"
"Injury Collisions","2019","February","Number","385"
"Injury Collisions","2019","March","Number","483"
"Injury Collisions","2019","April","Number","391"
"Injury Collisions","2019","May","Number","468"
"Injury Collisions","2019","June","Number","466"
"Injury Collisions","2019","July","Number","504"
"Injury Collisions","2019","August","Number","479"
"Injury Collisions","2019","September","Number","534"
"Injury Collisions","2019","October","Number","509"
"Injury Collisions","2019","November","Number","535"
"Injury Collisions","2019","December","Number","451"
"Injury Collisions","2020","All months","Number","4293"
"Injury Collisions","2020","January","Number","492"
"Injury Collisions","2020","February","Number","433"
"Injury Collisions","2020","March","Number","261"
"Injury Collisions","2020","April","Number","132"
"Injury Collisions","2020","May","Number","227"
"Injury Collisions","2020","June","Number","288"
"Injury Collisions","2020","July","Number","394"
"Injury Collisions","2020","August","Number","404"
"Injury Collisions","2020","September","Number","413"
"Injury Collisions","2020","October","Number","382"
"Injury Collisions","2020","November","Number","383"
"Injury Collisions","2020","December","Number","484"
"Injury Collisions","2021","All months","Number","4789"
"Injury Collisions","2021","January","Number","222"
"Injury Collisions","2021","February","Number","240"
"Injury Collisions","2021","March","Number","292"
"Injury Collisions","2021","April","Number","345"
"Injury Collisions","2021","May","Number","407"
"Injury Collisions","2021","June","Number","443"
"Injury Collisions","2021","July","Number","474"
"Injury Collisions","2021","August","Number","426"
"Injury Collisions","2021","September","Number","507"
"Injury Collisions","2021","October","Number","504"
"Injury Collisions","2021","November","Number","447"
"Injury Collisions","2021","December","Number","482"
"Injury Collisions","2022","All months","Number","5568"
"Injury Collisions","2022","January","Number","387"
"Injury Collisions","2022","February","Number","409"
"Injury Collisions","2022","March","Number","469"
"Injury Collisions","2022","April","Number","429"
"Injury Collisions","2022","May","Number","491"
"Injury Collisions","2022","June","Number","459"
"Injury Collisions","2022","July","Number","461"
"Injury Collisions","2022","August","Number","501"
"Injury Collisions","2022","September","Number","497"
"Injury Collisions","2022","October","Number","512"
"Injury Collisions","2022","November","Number","536"
"Injury Collisions","2022","December","Number","417"
