Statistic Label,Year,Seat Belt Usage,UNIT,VALUE
Users of Cars Killed in Collisions,2017,Car drivers: seat belt in use,Number,28
Users of Cars Killed in Collisions,2017,Car drivers: seat belt not in use,Number,15
Users of Cars Killed in Collisions,2017,Car drivers: seat belt usage unknown,Number,11
Users of Cars Killed in Collisions,2017,Car drivers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2017,All car drivers,Number,54
Users of Cars Killed in Collisions,2017,Front seat passengers: seat belt in use,Number,8
Users of Cars Killed in Collisions,2017,Front seat passengers: seat belt not in use,Number,0
Users of Cars Killed in Collisions,2017,Front seat passengers: seat belt usage unknown,Number,3
Users of Cars Killed in Collisions,2017,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2017,All front seat passengers,Number,11
Users of Cars Killed in Collisions,2018,Car drivers: seat belt in use,Number,22
Users of Cars Killed in Collisions,2018,Car drivers: seat belt not in use,Number,18
Users of Cars Killed in Collisions,2018,Car drivers: seat belt usage unknown,Number,5
Users of Cars Killed in Collisions,2018,Car drivers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2018,All car drivers,Number,45
Users of Cars Killed in Collisions,2018,Front seat passengers: seat belt in use,Number,6
Users of Cars Killed in Collisions,2018,Front seat passengers: seat belt not in use,Number,4
Users of Cars Killed in Collisions,2018,Front seat passengers: seat belt usage unknown,Number,6
Users of Cars Killed in Collisions,2018,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2018,All front seat passengers,Number,16
Users of Cars Killed in Collisions,2019,Car drivers: seat belt in use,Number,41
Users of Cars Killed in Collisions,2019,Car drivers: seat belt not in use,Number,21
Users of Cars Killed in Collisions,2019,Car drivers: seat belt usage unknown,Number,4
Users of Cars Killed in Collisions,2019,Car drivers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2019,All car drivers,Number,66
Users of Cars Killed in Collisions,2019,Front seat passengers: seat belt in use,Number,9
Users of Cars Killed in Collisions,2019,Front seat passengers: seat belt not in use,Number,2
Users of Cars Killed in Collisions,2019,Front seat passengers: seat belt usage unknown,Number,4
Users of Cars Killed in Collisions,2019,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2019,All front seat passengers,Number,15
Users of Cars Killed in Collisions,2020,Car drivers: seat belt in use,Number,30
Users of Cars Killed in Collisions,2020,Car drivers: seat belt not in use,Number,10
Users of Cars Killed in Collisions,2020,Car drivers: seat belt usage unknown,Number,6
Users of Cars Killed in Collisions,2020,Car drivers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2020,All car drivers,Number,46
Users of Cars Killed in Collisions,2020,Front seat passengers: seat belt in use,Number,12
Users of Cars Killed in Collisions,2020,Front seat passengers: seat belt not in use,Number,6
Users of Cars Killed in Collisions,2020,Front seat passengers: seat belt usage unknown,Number,4
Users of Cars Killed in Collisions,2020,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2020,All front seat passengers,Number,22
Users of Cars Killed in Collisions,2021,Car drivers: seat belt in use,Number,36
Users of Cars Killed in Collisions,2021,Car drivers: seat belt not in use,Number,16
Users of Cars Killed in Collisions,2021,Car drivers: seat belt usage unknown,Number,13
Users of Cars Killed in Collisions,2021,Car drivers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2021,All car drivers,Number,65
Users of Cars Killed in Collisions,2021,Front seat passengers: seat belt in use,Number,4
Users of Cars Killed in Collisions,2021,Front seat passengers: seat belt not in use,Number,6
Users of Cars Killed in Collisions,2021,Front seat passengers: seat belt usage unknown,Number,7
Users of Cars Killed in Collisions,2021,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2021,All front seat passengers,Number,17
Users of Cars Killed in Collisions,2022,Car drivers: seat belt in use,Number,29
Users of Cars Killed in Collisions,2022,Car drivers: seat belt not in use,Number,10
Users of Cars Killed in Collisions,2022,Car drivers: seat belt usage unknown,Number,10
Users of Cars Killed in Collisions,2022,Car drivers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2022,All car drivers,Number,49
Users of Cars Killed in Collisions,2022,Front seat passengers: seat belt in use,Number,13
Users of Cars Killed in Collisions,2022,Front seat passengers: seat belt not in use,Number,2
Users of Cars Killed in Collisions,2022,Front seat passengers: seat belt usage unknown,Number,7
Users of Cars Killed in Collisions,2022,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2022,All front seat passengers,Number,22
Users of Cars Killed in Collisions,2023,Car drivers: seat belt in use,Number,25
Users of Cars Killed in Collisions,2023,Car drivers: seat belt not in use,Number,6
Users of Cars Killed in Collisions,2023,Car drivers: seat belt usage unknown,Number,22
Users of Cars Killed in Collisions,2023,Car drivers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2023,All car drivers,Number,53
Users of Cars Killed in Collisions,2023,Front seat passengers: seat belt in use,Number,9
Users of Cars Killed in Collisions,2023,Front seat passengers: seat belt not in use,Number,4
Users of Cars Killed in Collisions,2023,Front seat passengers: seat belt usage unknown,Number,19
Users of Cars Killed in Collisions,2023,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2023,All front seat passengers,Number,32
Users of Cars Injured in Collisions,2005,Car drivers: seat belt in use,Number,1730
Users of Cars Injured in Collisions,2005,Car drivers: seat belt not in use,Number,184
Users of Cars Injured in Collisions,2005,Car drivers: seat belt usage unknown,Number,1377
Users of Cars Injured in Collisions,2005,Car drivers: seat belt usage not stated,Number,962
Users of Cars Injured in Collisions,2005,All car drivers,Number,4253
Users of Cars Injured in Collisions,2005,Front seat passengers: seat belt in use,Number,461
Users of Cars Injured in Collisions,2005,Front seat passengers: seat belt not in use,Number,44
Users of Cars Injured in Collisions,2005,Front seat passengers: seat belt usage unknown,Number,346
Users of Cars Injured in Collisions,2005,Front seat passengers: seat belt usage not stated,Number,330
Users of Cars Injured in Collisions,2005,All front seat passengers,Number,1181
Users of Cars Injured in Collisions,2006,Car drivers: seat belt in use,Number,1658
Users of Cars Injured in Collisions,2006,Car drivers: seat belt not in use,Number,144
Users of Cars Injured in Collisions,2006,Car drivers: seat belt usage unknown,Number,1241
Users of Cars Injured in Collisions,2006,Car drivers: seat belt usage not stated,Number,716
Users of Cars Injured in Collisions,2006,All car drivers,Number,3759
Users of Cars Injured in Collisions,2006,Front seat passengers: seat belt in use,Number,504
Users of Cars Injured in Collisions,2006,Front seat passengers: seat belt not in use,Number,45
Users of Cars Injured in Collisions,2006,Front seat passengers: seat belt usage unknown,Number,359
Users of Cars Injured in Collisions,2006,Front seat passengers: seat belt usage not stated,Number,268
Users of Cars Injured in Collisions,2006,All front seat passengers,Number,1176
Users of Cars Injured in Collisions,2007,Car drivers: seat belt in use,Number,1520
Users of Cars Injured in Collisions,2007,Car drivers: seat belt not in use,Number,70
Users of Cars Injured in Collisions,2007,Car drivers: seat belt usage unknown,Number,917
Users of Cars Injured in Collisions,2007,Car drivers: seat belt usage not stated,Number,888
Users of Cars Injured in Collisions,2007,All car drivers,Number,3395
Users of Cars Injured in Collisions,2007,Front seat passengers: seat belt in use,Number,554
Users of Cars Injured in Collisions,2007,Front seat passengers: seat belt not in use,Number,33
Users of Cars Injured in Collisions,2007,Front seat passengers: seat belt usage unknown,Number,328
Users of Cars Injured in Collisions,2007,Front seat passengers: seat belt usage not stated,Number,263
Users of Cars Injured in Collisions,2007,All front seat passengers,Number,1178
Users of Cars Injured in Collisions,2008,Car drivers: seat belt in use,Number,2097
Users of Cars Injured in Collisions,2008,Car drivers: seat belt not in use,Number,103
Users of Cars Injured in Collisions,2008,Car drivers: seat belt usage unknown,Number,1354
Users of Cars Injured in Collisions,2008,Car drivers: seat belt usage not stated,Number,663
Users of Cars Injured in Collisions,2008,All car drivers,Number,4217
Users of Cars Injured in Collisions,2008,Front seat passengers: seat belt in use,Number,791
Users of Cars Injured in Collisions,2008,Front seat passengers: seat belt not in use,Number,47
Users of Cars Injured in Collisions,2008,Front seat passengers: seat belt usage unknown,Number,476
Users of Cars Injured in Collisions,2008,Front seat passengers: seat belt usage not stated,Number,146
Users of Cars Injured in Collisions,2008,All front seat passengers,Number,1460
Users of Cars Injured in Collisions,2009,Car drivers: seat belt in use,Number,2404
Users of Cars Injured in Collisions,2009,Car drivers: seat belt not in use,Number,103
Users of Cars Injured in Collisions,2009,Car drivers: seat belt usage unknown,Number,1393
Users of Cars Injured in Collisions,2009,Car drivers: seat belt usage not stated,Number,292
Users of Cars Injured in Collisions,2009,All car drivers,Number,4192
Users of Cars Injured in Collisions,2009,Front seat passengers: seat belt in use,Number,898
Users of Cars Injured in Collisions,2009,Front seat passengers: seat belt not in use,Number,58
Users of Cars Injured in Collisions,2009,Front seat passengers: seat belt usage unknown,Number,489
Users of Cars Injured in Collisions,2009,Front seat passengers: seat belt usage not stated,Number,79
Users of Cars Injured in Collisions,2009,All front seat passengers,Number,1524
