Statistic Label,Year,Seat Belt Usage,UNIT,VALUE
All Users of Cars Involved in Fatal and Injury Collisions,2018,Front seat passengers: seat belt in use,Number,1156
All Users of Cars Involved in Fatal and Injury Collisions,2018,Front seat passengers: seat belt not in use,Number,69
All Users of Cars Involved in Fatal and Injury Collisions,2018,Front seat passengers: seat belt usage unknown,Number,340
All Users of Cars Involved in Fatal and Injury Collisions,2018,Front seat passengers: seat belt usage not stated,Number,8
All Users of Cars Involved in Fatal and Injury Collisions,2018,All front seat passengers,Number,1573
All Users of Cars Involved in Fatal and Injury Collisions,2019,Car drivers: seat belt in use,Number,4964
All Users of Cars Involved in Fatal and Injury Collisions,2019,Car drivers: seat belt not in use,Number,133
All Users of Cars Involved in Fatal and Injury Collisions,2019,Car drivers: seat belt usage unknown,Number,1398
All Users of Cars Involved in Fatal and Injury Collisions,2019,Car drivers: seat belt usage not stated,Number,3
All Users of Cars Involved in Fatal and Injury Collisions,2019,All car drivers,Number,6498
All Users of Cars Involved in Fatal and Injury Collisions,2019,Front seat passengers: seat belt in use,Number,1162
All Users of Cars Involved in Fatal and Injury Collisions,2019,Front seat passengers: seat belt not in use,Number,56
All Users of Cars Involved in Fatal and Injury Collisions,2019,Front seat passengers: seat belt usage unknown,Number,248
All Users of Cars Involved in Fatal and Injury Collisions,2019,Front seat passengers: seat belt usage not stated,Number,0
All Users of Cars Involved in Fatal and Injury Collisions,2019,All front seat passengers,Number,1466
All Users of Cars Involved in Fatal and Injury Collisions,2020,Car drivers: seat belt in use,Number,3503
All Users of Cars Involved in Fatal and Injury Collisions,2020,Car drivers: seat belt not in use,Number,118
All Users of Cars Involved in Fatal and Injury Collisions,2020,Car drivers: seat belt usage unknown,Number,1036
All Users of Cars Involved in Fatal and Injury Collisions,2020,Car drivers: seat belt usage not stated,Number,11
All Users of Cars Involved in Fatal and Injury Collisions,2020,All car drivers,Number,4668
All Users of Cars Involved in Fatal and Injury Collisions,2020,Front seat passengers: seat belt in use,Number,782
All Users of Cars Involved in Fatal and Injury Collisions,2020,Front seat passengers: seat belt not in use,Number,62
All Users of Cars Involved in Fatal and Injury Collisions,2020,Front seat passengers: seat belt usage unknown,Number,206
All Users of Cars Involved in Fatal and Injury Collisions,2020,Front seat passengers: seat belt usage not stated,Number,0
All Users of Cars Involved in Fatal and Injury Collisions,2020,All front seat passengers,Number,1050
All Users of Cars Involved in Fatal and Injury Collisions,2021,Car drivers: seat belt in use,Number,4037
All Users of Cars Involved in Fatal and Injury Collisions,2021,Car drivers: seat belt not in use,Number,133
All Users of Cars Involved in Fatal and Injury Collisions,2021,Car drivers: seat belt usage unknown,Number,1178
All Users of Cars Involved in Fatal and Injury Collisions,2021,Car drivers: seat belt usage not stated,Number,15
All Users of Cars Involved in Fatal and Injury Collisions,2021,All car drivers,Number,5363
All Users of Cars Involved in Fatal and Injury Collisions,2021,Front seat passengers: seat belt in use,Number,785
All Users of Cars Involved in Fatal and Injury Collisions,2021,Front seat passengers: seat belt not in use,Number,57
All Users of Cars Involved in Fatal and Injury Collisions,2021,Front seat passengers: seat belt usage unknown,Number,242
All Users of Cars Involved in Fatal and Injury Collisions,2021,Front seat passengers: seat belt usage not stated,Number,2
All Users of Cars Involved in Fatal and Injury Collisions,2021,All front seat passengers,Number,1086
All Users of Cars Involved in Fatal and Injury Collisions,2022,Car drivers: seat belt in use,Number,4679
All Users of Cars Involved in Fatal and Injury Collisions,2022,Car drivers: seat belt not in use,Number,116
All Users of Cars Involved in Fatal and Injury Collisions,2022,Car drivers: seat belt usage unknown,Number,1457
All Users of Cars Involved in Fatal and Injury Collisions,2022,Car drivers: seat belt usage not stated,Number,0
All Users of Cars Involved in Fatal and Injury Collisions,2022,All car drivers,Number,6252
All Users of Cars Involved in Fatal and Injury Collisions,2022,Front seat passengers: seat belt in use,Number,1067
All Users of Cars Involved in Fatal and Injury Collisions,2022,Front seat passengers: seat belt not in use,Number,51
All Users of Cars Involved in Fatal and Injury Collisions,2022,Front seat passengers: seat belt usage unknown,Number,249
All Users of Cars Involved in Fatal and Injury Collisions,2022,Front seat passengers: seat belt usage not stated,Number,0
All Users of Cars Involved in Fatal and Injury Collisions,2022,All front seat passengers,Number,1367
All Users of Cars Involved in Fatal and Injury Collisions,2023,Car drivers: seat belt in use,Number,4182
All Users of Cars Involved in Fatal and Injury Collisions,2023,Car drivers: seat belt not in use,Number,127
All Users of Cars Involved in Fatal and Injury Collisions,2023,Car drivers: seat belt usage unknown,Number,1598
All Users of Cars Involved in Fatal and Injury Collisions,2023,Car drivers: seat belt usage not stated,Number,0
All Users of Cars Involved in Fatal and Injury Collisions,2023,All car drivers,Number,5907
All Users of Cars Involved in Fatal and Injury Collisions,2023,Front seat passengers: seat belt in use,Number,901
All Users of Cars Involved in Fatal and Injury Collisions,2023,Front seat passengers: seat belt not in use,Number,69
All Users of Cars Involved in Fatal and Injury Collisions,2023,Front seat passengers: seat belt usage unknown,Number,262
All Users of Cars Involved in Fatal and Injury Collisions,2023,Front seat passengers: seat belt usage not stated,Number,0
All Users of Cars Involved in Fatal and Injury Collisions,2023,All front seat passengers,Number,1232
